author_id,validation_level,rank_level
U00600,,level_3
U00601,realid_validated,level_0
U00602,,level_0
U00603,,level_1
U00604,,level_0
U00605,,level_3
U00606,,level_0
U00607,,level_0
U00608,realid_validated,level_4
U00609,,level_0
U00610,,level_0
U00611,,level_0
U00612,,level_0
U00613,,level_0
U00614,,level_3
U00615,,level_0
U00616,,level_0
U00617,,level_0
U00618,,level_1
U00619,realid_validated,level_1
U00620,realid_validated,level_1
U00621,realid_validated,level_0
U00622,md_validated,level_1
U00623,,level_1
U00624,md_validated,level_1
U00625,,level_1
U00626,,level_0
U00627,md_validated,level_1
U00628,,level_6
U00629,,level_6
U00630,,level_3
U00631,md1_validated,unk
U00632,realid_validated,level_3
U00633,,level_4
U00634,md_validated,level_4
U00635,,level_1
U00636,,level_0
U00637,md_validated,level_3
U00638,md1_validated,level_3
U00639,,level_3
U00640,,level_1
U00641,,level_0
U00642,md1_validated,level_3
U00643,md2_validated,level_3
U00644,,level_6
U00645,md1_validated,level_6
U00646,,level_2
U00647,,level_1
U00648,,level_0
U00649,,level_0
U00650,md1_validated,level_2
U00651,,level_0
U00652,md_validated,unk
U00653,realid_validated,level_0
U00654,md3_validated,level_1
U00655,realid_validated,level_0
U00656,,level_0
U00657,md1_validated,level_3
U00658,md1_validated,level_1
U00659,md3_validated,unk
U00660,,level_6
U00661,,level_0
U00662,md_validated,level_1
U00663,realid_validated,level_3
U00664,md1_validated,level_4
U00665,realid_validated,level_1
U00666,,level_0
U00667,,level_3
U00668,md1_validated,level_3
U00669,realid_validated,level_4
U00670,,level_0
U00671,,level_0
U00672,,level_0
U00673,,level_0
U00674,,level_0
U00675,,level_2
U00676,,level_0
U00677,,level_0
U00678,,level_0
U00679,,level_0
U00680,md_validated,level_3
U00681,md_validated,level_1
U00682,,level_1
U00683,,level_0
U00684,md_validated,level_3
U00685,,level_2
U00686,,level_0
U00687,,level_0
U00688,,level_0
U00689,md1_validated,level_3
U00690,,level_0
U00691,,level_0
U00692,,level_0
U00693,md1_validated,level_3
U00694,md_validated,level_1
U00695,,unk
U00696,md2_validated,level_4
U00697,,level_0
U00698,,level_0
U00699,md_validated,level_1
U00700,,level_0
U00701,,level_0
U00702,,level_1
U00703,md1_validated,level_1
U00704,,level_0
U00705,,level_1
U00706,md_validated,level_1
U00707,,level_1
U00708,md1_validated,level_4
U00709,,level_0
U00710,,level_3
U00711,,level_4
U00712,,level_0
U00713,,level_0
U00714,,level_1
U00715,,level_3
U00716,,level_3
U00717,md1_validated,unk
U00718,,level_0
U00719,,level_0
U00720,,level_0
U00721,,level_1
U00722,md_validated,level_2
U00723,md2_validated,level_0
U00724,md_validated,level_1
U00725,,level_3
U00726,,level_1
U00727,,level_0
U00728,md2_validated,level_1
U00729,,level_0
U00730,,level_0
U00731,,level_0
U00732,md_validated,level_3
U00733,,level_0
U00734,,level_0
U00735,,level_3
U00736,,level_3
U00737,,level_4
U00738,md3_validated,level_2
U00739,,level_0
U00740,md_validated,level_3
U00741,md1_validated,level_3
U00742,realid_validated,level_4
U00743,,level_0
U00744,,level_0
U00745,,level_0
U00746,,level_0
U00747,,level_0
U00748,,level_2
U00749,,level_4
U00750,md2_validated,level_4
U00751,,level_3
U00752,realid_validated,unk
U00753,md1_validated,level_6
U00754,,level_0
U00755,,level_1
U00756,,level_0
U00757,,level_3
U00758,,unk
U00759,,level_3
U00760,,level_3
U00761,md2_validated,unk
U00762,,level_1
U00763,,level_3
U00764,,level_0
U00765,,level_0
U00766,,level_0
U00767,md1_validated,level_2
U00768,,level_2
U00769,,level_3
U00770,md1_validated,level_3
U00771,,level_3
U00772,,level_3
U00773,,level_1
U00774,md1_validated,level_4
U00775,,level_0
U00776,,level_0
U00777,,level_0
U00778,,unk
U00779,,level_0
U00780,,level_6
U00781,,level_0
U00782,,level_4
U00783,,level_0
U00784,,level_3
U00785,,level_0
U00786,md1_validated,level_2
U00787,,level_0
U00788,,level_0
U00789,md2_validated,level_1
U00790,realid_validated,level_2
U00791,,level_0
U00792,,level_3
U00793,,level_1
U00794,,level_4
U00795,md1_validated,level_6
U00796,,level_0
U00797,,level_0
U00798,,level_3
U00799,,level_0
U00800,,level_0
U00801,,level_3
U00802,,level_3
U00803,md1_validated,level_4
U00804,realid_validated,level_0
U00805,,level_0
U00806,md1_validated,level_1
U00807,,level_0
U00808,,level_0
U00809,,level_0
U00810,,level_3
U00811,,level_1
U00812,,level_1
U00813,,level_0
U00814,,level_0
U00815,,level_0
U00816,,level_0
U00817,,level_0
U00818,,level_0
U00819,,level_0
U00820,,level_0
U00821,,level_0
U00822,,level_0
U00823,,level_0
U00824,,level_0
U00825,,level_0
U00826,,level_0
U00827,md_validated,level_1
U00828,,level_0
U00829,,level_3
U00830,,level_0
U00831,md_validated,level_1
U00832,,level_0
U00833,,level_0
U00834,,level_0
U00835,,level_0
U00836,,level_0
U00837,,level_1
U00838,md2_validated,unk
U00839,md_validated,level_3
U00840,,unk
U00841,,level_2
U00842,md2_validated,level_3
U00843,md1_validated,level_1
U00844,md1_validated,unk
U00845,,level_0
U00846,realid_validated,level_0
U00847,,level_1
U00848,,level_1
U00849,,level_2
U00850,md1_validated,level_4
U00851,,level_0
U00852,,level_0
U00853,,level_0
U00854,,level_0
U00855,,level_1
U00856,,level_0
U00857,,level_1
U00858,,level_0
U00859,,level_0
U00860,md2_validated,level_3
U00861,,level_3
U00862,,level_3
U00863,,level_3
U00864,md_validated,level_0
U00865,,level_4
U00866,,level_0
U00867,,level_2
U00868,,level_2
U00869,,level_3
U00870,,level_0
U00871,,level_0
U00872,,level_0
U00873,,level_0
U00874,,level_3
U00875,md2_validated,level_4
U00876,,level_1
U00877,md1_validated,level_7
U00878,,level_0
U00879,,level_0
U00880,,level_1
U00881,md_validated,level_1
U00882,,level_1
U00883,,level_0
U00884,,level_3
U00885,,level_1
U00886,,level_0
U00887,,level_0
U00888,,level_1
U00889,,level_0
U00890,md_validated,level_4
U00891,,level_0
U00892,,level_0
U00893,,level_0
U00894,,level_2
U00895,,level_3
U00896,,level_0
U00897,md_validated,unk
U00898,,level_3
U00899,,level_3
U00900,,level_3
U00901,md_validated,level_3
U00902,md3_validated,level_4
U00903,,level_1
U00904,,unk
U00905,md_validated,unk
U00906,,level_4
U00907,realid_validated,level_3
U00908,md2_validated,level_4
U00909,md2_validated,unk
U00910,md_validated,level_3
U00911,,level_4
U00912,md1_validated,level_3
U00913,,level_1
U00914,md_validated,unk
U00915,,level_0
U00916,md_validated,level_1
U00917,realid_validated,level_0
U00918,md_validated,level_1
U00919,md_validated,level_1
U00920,,level_3
U00921,,level_0
U00922,,level_3
U00923,,level_1
U00924,,level_0
U00925,,level_0
U00926,md1_validated,level_3
U00927,,level_1
U00928,md2_validated,level_0
U00929,md_validated,level_1
U00930,,level_1
U00931,,level_0
U00932,,level_3
U00933,,level_0
U00934,md1_validated,level_1
U00935,,level_0
U00936,,level_1
U00937,,level_0
U00938,,level_0
U00939,,level_0
U00940,,level_0
U00941,,level_0
U00942,md1_validated,level_0
U00943,,level_0
U00944,,level_1
U00945,,level_0
U00946,,level_0
U00947,md1_validated,level_3
U00948,,level_0
U00949,md_validated,level_1
U00950,md2_validated,level_1
U00951,,level_0
U00952,realid_validated,level_0
U00953,,level_0
U00954,,level_0
U00955,,level_3
U00956,,level_1
U00957,md1_validated,level_1
U00958,,level_0
U00959,md2_validated,level_3
U00960,,level_0
U00961,,level_0
U00962,md_validated,level_1
U00963,realid_validated,level_0
U00964,,level_1
U00965,,level_0
U00966,md_validated,level_1
U00967,,level_0
U00968,,level_0
U00969,,level_0
U00970,,level_0
U00971,,level_0
U00972,md1_validated,level_0
U00973,md_validated,level_4
U00974,,level_0
U00975,,level_0
U00976,,level_0
U00977,,level_0
U00978,,level_1
U00979,,level_0
U00980,realid_validated,level_1
U00981,,level_0
U00982,,level_4
U00983,,level_3
U00984,,level_0
U00985,,level_2
U00986,,level_3
U00987,,level_0
U00988,,level_0
U00989,,level_0
U00990,realid_validated,level_1
U00991,,level_3
U00992,,level_0
U00993,,level_0
U00994,,level_0
U00995,,level_0
U00996,,level_0
U00997,,level_0
U00998,,level_0
U00999,,level_0
U01000,,level_0
U01001,,level_1
U01002,,level_0
U01003,,level_0
U01004,,level_0
U01005,md_validated,level_3
U01006,,level_0
U01007,md2_validated,level_1
U01008,,level_0
U01009,,level_0
U01010,,level_3
U01011,,level_2
U01012,md_validated,level_1
U01013,md_validated,level_1
U01014,,level_1
U01015,md_validated,level_1
U01016,,level_0
U01017,md1_validated,level_0
U01018,,level_0
U01019,,unk
U01020,,level_0
U01021,,level_3
U01022,,level_3
U01023,md_validated,level_3
U01024,md1_validated,level_2
U01025,md_validated,level_1
U01026,,level_1
U01027,,level_0
U01028,,level_1
U01029,,level_2
U01030,,level_2
U01031,,level_1
U01032,,level_0
U01033,,level_0
U01034,,level_1
U01035,,level_1
U01036,md_validated,level_1
U01037,,level_0
U01038,,level_0
U01039,,level_1
U01040,,unk
U01041,md2_validated,level_1
U01042,,level_0
U01043,,level_0
U01044,md_validated,level_1
U01045,md_validated,level_1
U01046,md3_validated,level_4
U01047,,level_1
U01048,md_validated,level_1
U01049,,level_3
U01050,,level_0
U01051,,level_3
U01052,,level_0
U01053,,level_0
U01054,,level_1
U01055,,level_0
U01056,,level_0
U01057,md1_validated,unk
U01058,md_validated,level_1
U01059,,level_0
U01060,md2_validated,level_2
U01061,,level_3
U01062,,level_0
U01063,,level_0
U01064,realid_validated,level_0
U01065,,level_0
U01066,,level_0
U01067,md_validated,level_1
U01068,,level_0
U01069,,level_0
U01070,,level_1
U01071,,level_0
U01072,,level_0
U01073,,level_0
U01074,,level_6
U01075,,level_3
U01076,,level_1
U01077,,level_0
U01078,,level_0
U01079,,level_0
U01080,,level_0
U01081,md_validated,level_1
U01082,md_validated,unk
U01083,,level_3
U01084,,level_0
U01085,md_validated,level_1
U01086,,level_0
U01087,realid_validated,level_0
U01088,md_validated,level_1
U01089,md2_validated,level_1
U01090,md1_validated,level_1
U01091,,level_0
U01092,,level_0
U01093,,level_2
U01094,md1_validated,level_3
U01095,,level_0
U01096,md1_validated,unk
U01097,,level_0
U01098,md1_validated,level_1
U01099,,level_0
U01100,,level_0
U01101,md1_validated,level_3
U01102,,level_3
U01103,,level_3
U01104,,level_3
U01105,,level_0
U01106,,level_0
U01107,,level_3
U01108,,level_0
U01109,md4_validated,level_0
U01110,md_validated,level_1
U01111,,level_0
U01112,,level_0
U01113,,level_0
U01114,,level_0
U01115,md_validated,level_3
U01116,realid_validated,level_0
U01117,,level_0
U01118,md_validated,level_4
U01119,md_validated,level_3
U01120,,level_1
U01121,,level_0
U01122,,level_3
U01123,,level_0
U01124,,level_0
U01125,,level_0
U01126,md_validated,level_1
U01127,,level_1
U01128,md1_validated,level_1
U01129,,level_0
U01130,realid_validated,unk
U01131,,level_2
U01132,,level_3
U01133,,unk
U01134,md1_validated,unk
U01135,,level_3
U01136,,level_1
U01137,md1_validated,level_4
U01138,md_validated,level_1
U01139,,level_3
U01140,,level_0
U01141,md2_validated,level_2
U01142,,level_3
U01143,,level_0
U01144,md2_validated,level_4
U01145,,level_3
U01146,,level_0
U01147,,level_0
U01148,,level_0
U01149,,level_0
U01150,,level_1
U01151,md1_validated,level_0
U01152,,level_0
U01153,,level_0
U01154,md_validated,level_1
U01155,,level_0
U01156,md1_validated,unk
U01157,,level_2
U01158,md_validated,level_1
U01159,md_validated,level_3
U01160,,level_1
U01161,,level_0
U01162,,level_1
U01163,,level_1
U01164,,level_0
U01165,,level_0
U01166,,level_1
U01167,,level_2
U01168,md1_validated,level_1
U01169,,level_0
U01170,,level_0
U01171,,level_3
U01172,,level_3
U01173,,level_3
U01174,,level_3
U01175,md_validated,level_4
U01176,md1_validated,level_3
U01177,,level_1
U01178,,level_0
U01179,,level_0
U01180,,level_0
U01181,,level_0
U01182,,level_0
U01183,md2_validated,level_0
U01184,,level_0
U01185,,level_0
U01186,,level_0
U01187,,level_1
U01188,,level_0
U01189,md1_validated,level_1
U01190,realid_validated,level_3
U01191,,level_0
U01192,,level_0
U01193,,level_0
U01194,,level_0
U01195,md1_validated,level_2
U01196,md1_validated,unk
U01197,,level_3
U01198,,level_0
U01199,,level_0
U01200,,level_1
U01201,,level_0
U01202,,level_0
U01203,,level_0
U01204,,level_1
U01205,,level_1
U01206,realid_validated,level_3
U01207,md1_validated,level_1
U01208,,level_0
U01209,md1_validated,level_3
U01210,,level_0
U01211,,level_0
U01212,,level_1
U01213,,level_2
U01214,,level_1
U01215,,level_0
U01216,,level_0
U01217,,level_0
U01218,,level_0
U01219,,level_1
U01220,,level_0
U01221,,level_0
U01222,,level_0
U01223,,level_0
U01224,,level_1
U01225,,level_0
U01226,,level_0
U01227,,level_0
U01228,md1_validated,level_1
U01229,md1_validated,level_2
U01230,md_validated,level_1
U01231,md_validated,level_1
U01232,,level_0
U01233,md_validated,level_1
U01234,md_validated,level_1
U01235,md_validated,level_1
U01236,,level_3
U01237,md_validated,level_1
U01238,,level_0
U01239,md_validated,level_1
U01240,md_validated,level_1
U01241,md_validated,level_1
U01242,,level_3
U01243,,level_0
U01244,,level_0
U01245,md_validated,level_1
U01246,md1_validated,level_0
U01247,md_validated,level_2
U01248,md_validated,level_2
U01249,,level_0
U01250,md1_validated,level_3
U01251,realid_validated,level_3
U01252,,level_0
U01253,,level_0
U01254,,level_1
U01255,md1_validated,level_3
U01256,,level_3
U01257,,level_2
U01258,,level_1
U01259,,level_0
U01260,,level_0
U01261,,level_0
U01262,md_validated,level_1
U01263,,level_0
U01264,,level_3
U01265,,level_3
U01266,md_validated,level_3
U01267,,level_0
U01268,,level_0
U01269,,level_1
U01270,,level_0
U01271,,level_1
U01272,,level_0
U01273,realid_validated,level_0
U01274,,level_0
U01275,,level_0
U01276,,level_1
U01277,,level_0
U01278,,level_0
U01279,,level_1
U01280,md_validated,level_1
U01281,,level_1
U01282,,level_0
U01283,,level_1
U01284,,level_0
U01285,,level_0
U01286,md2_validated,unk
U01287,md2_validated,unk
U01288,realid_validated,level_3
U01289,,level_0
U01290,,level_0
U01291,,level_0
U01292,,level_1
U01293,,level_1
U01294,md_validated,level_1
U01295,,level_1
U01296,,level_0
U01297,md_validated,level_2
U01298,,level_0
U01299,,level_1
U01300,,level_0
U01301,,level_1
U01302,,level_0
U01303,,level_4
U01304,md_validated,level_1
U01305,,unk
U01306,md_validated,level_1
U01307,,level_0
U01308,,level_1
U01309,,level_0
U01310,,level_0
U01311,,level_0
U01312,,level_0
U01313,,level_0
U01314,,level_3
U01315,,level_0
U01316,realid_validated,level_3
U01317,,level_4
U01318,md1_validated,level_2
U01319,md1_validated,level_3
U01320,md1_validated,unk
U01321,,level_1
U01322,,level_0
U01323,,level_4
U01324,realid_validated,level_2
U01325,,level_0
U01326,md4_validated,level_1
U01327,,level_3
U01328,,level_0
U01329,,level_0
U01330,md1_validated,level_1
U01331,,level_0
U01332,realid_validated,level_1
U01333,md1_validated,level_1
U01334,md_validated,level_4
U01335,,level_1
U01336,,level_1
U01337,,level_1
U01338,md2_validated,level_1
U01339,,level_1
U01340,realid_validated,level_2
U01341,,level_0
U01342,,level_0
U01343,,level_0
U01344,,level_0
